"Klarna Invoice","Klarna Rechnung"
"Klarna Account","Klarna Ratenzahlung"
"Klarna Campaign","Klarna Kampagne"
"Enabled","aktiviert"
"Merchant ID","Händler-ID"
"The merchant id that you have received from Klarna","Die Händler-ID", welche Sie von Klarna erhalten haben"
"Shared secret","Passwort"
"The shared secret that you have received from Klarna","Das Passwort, welches Sie von Klarna erhalten haben"
"Title","Titel"
"Server","Server"
"Choose what server to make calls to","Wählen Sie den zu nutzenden Server"
"New order status","Status neuer Bestellungen"
"Invoice fee","Rechnungsgebühr"
"In website currency","Website Währung"
"Invoice fee label","Rechnungsgebühr-Beschriftung"
"Minimum order amount","Minimaler Bestellwert"
"Cancel pending reservations","Pending-Reservierungen stornieren"
"Automatically cancel orders when the reservation becomes pending","Reservierungen automatisch stornieren, wenn diese pending werden."
"Send invoice via e-mail","Rechnung per E-Mail verschicken"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Wenn aktiviert, Klarna versendet die Rechnung sobald die Reservierung aktiviert wurde."
"Allow separate addresses","Abweichende Adresse zulassen"""
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Von der Rechnungsadresse abweichende Lieferadressen zulassen. Es kann sein, dass Sie dies von Klarna genehmigen lassen müssen."
"Language","Sprache"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Erlaubte Länder"
"Specific countries","Spezifische Länder"
"Sort order","Reihenfolge"
"URL to special logotype","Spezial-Logo URL"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose another logotype for it","Spezial-Kampagnen haben verschiedene Logotypen abhängig von der Kampagne, hier kännen Sie einen anderen Logotypen wählen."
"Klarna invoice fee","Klarna Rechnungsgebühr"
"Display Klarna invoice fee","Klarna Rechnungsgebühr anzeigen"
"Tax class for Klarna invoice fee","Mehrwertsteuer-Klasse für Klarna Rechnungsgebühr"
"Klarna invoice fee prices","Klarna Rechungsgebühr Kosten"
"Whether Klarna invoice fee set in admin includes tax","Die im Admin-Bereich eingegebene Klarna Rechnungsgebühr ist inklusive Steuern"
"Update Pclasses","Update Pclasses"
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Installiert die aktuellsten Pclasses."

"Please enter your personal ID and try again","Bitte geben Sie Ihre Sozialversicherungsnummer ein und versuchen Sie es noch einmal"
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","Sie müssen Erstattungen auf Basis der Rechnung erstellen, nicht von der Bestellung."
"Unable to pay with Klarna, please choose another payment method","Leider war die Zahlung mit Klarna nicht erfolgreich, bitte wählen Sie eine andere Zahlart"
"Fetching PClasses failed for store %s. (%s)","Herunterladen der Pclasses fehlgeschlagen für den Shop %s. (%s)"
"Unknown","Unbekannt"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Unbekannte Adresse, bitte geben Sie die korrekte Sozialversicherungsnummer ein und klicken Sie get address erneut oder wählen Sie eine andere Zahlart."
"You must choose a payment plan","Sie müssen eine Zahlrate wählen."
"Unexpected error, pclass does not exist, please reload page and try again","Unbekannter Fehler, die pclass existiert nicht, bitte laden Sie die Seite neu und versuchen Sie es erneut."
"Phonenumber must be properly entered","Die Telefonnummer muss korrekt eingegeben werden."
"Date of birth fields must be properly entered","Das Geburtsdatum muss korrekt eingegeben werden."
"Personal ID must not be empty","Sozialversicherungsnummer darf nicht leer sein."
"You need to agree to the terms to be able to continue","Sie müssen den Bedingungen zustimmen um fortfahren zu kännen."
"You need to enter your gender to be able to continue","Sie müssen Ihr Geschlecht angeben um fortfahren zu kännen."
"Klarna was not able to cancel the reservation","Klarna konnte die Reservierung nicht stornieren."
"Please enter a positive number in this field","Bitte geben Sie eine positive Zahl ein."
"No address found. Verify the personal id and try again","Keine Adresse gefunden. berprüfen Sie die Sozialversicherungsnummer und versuchen Sie es erneut."
"Please note that both shipping and billing address will be updated to this address when you place your order","Bitte beachten Sie, dass diese Adresse sowohl als Liefer- als auch als Rechnungsadresse genutzt wird, wenn Sie die Bestellung abschicken."
"Please note that shipping address will be updated to this address when you place your order","Bitte beachten Sie, dass diese Adresse als Lieferadresse genutzt wird, wenn Sie die Bestellung abschicken."

"Invoice","Rechnung"
"Refund","Erstattung"
"month","monat"
"Reservation","Reservierung"
"Reservation Pending","Reservierung pending"
"Reservation Denied","Reservierung abgelehnt"
"Country","Land"
"Description","Beschreibung"
"Months","Monate"
"Minimum amount","Minimaler Betrag"
"Address","Adresse"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Datenverarbeitung der für die Abwicklungdes Rechnungskaufes und einer Identitäts-und Bonitätsprüfung erforderlichen Daten durch Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Geburtsdatum"
"Gender","Geschlecht"
"Male","Mann"
"Female","Frau"
"Monthly cost","Monatliche Kosten"
"Total cost","Gesamtkosten"
"Start fee","AnfangsgebÙhr"
"Personal ID/Registration number","Sozialversicherungsnummer"
"Fetch ","Abfragen"
"Identifying...","Identifizieren..."
"Phone number","Telefonnummer"
"Discount (%s)","Rabatt (%s)"

"Gift Wrapping for Order","Geschenkverpackung für die Bestellung"
"Gift Wrapping for Items","Geschenkverpackung für Artikel"
"Printed Card","Gedruckte Karte"
"Gift Card","Geschenkkarte"
"Customer Balance","Kundenguthaben"
"Reward Currency","Erstattungs-Währung"

"YYMMDD-XXXX","YYMMDD-XXXX"
"URL to terms and conditions","Link zu den Geschäftsbebedingungen"
"URL to this stores own terms and conditions (only used in Germany and Austria)","Link zu den Händler Geschäftsbedingungen, Verwendung nur für Deutschland / Österreich."
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testmodus ist aktiv, nur Klarna-spezifische Testkundendaten werden erlaubt."
"Year","Jahr"
"Month","Monat"
"Day","Tag"
"07xxxxxxxx",""

"Disable payment widget on product page","Deaktivieren von Zahlungs-Widget auf der Produktseite"
"If set to yes, the payment information from Klarna will not appear on the product page","Wenn auf JA gesetzt, wird die Zahlungsinformation von Klarna nicht auf der Produktseite angezeigt"

"Disable method for company purchase","Deaktivieren des Verfahrens zum Unternehmenseinkäufe"
"Disable this method when company field is filled in during checkout","Deaktivieren der Funktion, wenn Firmen-Feld beim Checkout ausgefüllt ist"
"Default Country Only","Land das Standard eingestellt ist"
"Multiple Countries Allowed","Mehrere Länder zugelassen"

"Klarna Checkout","Klarna Checkout"
"Auto prefill known Klarna details","AutoVervollständigen gekannter Klarna details"
"When activated, it will use the logged in customer details to prefill the Klarna Checkout form","Bei Aktivierung werden die hinterlegten Kundendaten automatisch in den Klarna Checkout eingepflegt"
"Extra order ID attribute","Extra Bestellnummer Attribute"
"Will be used in the orderid2 field on the Klarna order","Wird in dem Feld Bestellnummer 2 der Klarna Bestellung genutzt"
"Newsletter","Newsletter"
"If checkbox for newsletter should be shown in checkout page.","Wenn Kontrollbox für den Newsletter auf der Checkout Seite angezeigt werden soll."
"Checked by default","Per Voreinstellung geprüft"
"A/B Testing settings","A/B Testing Einstellungen"
"Enable for IP range","Für IP-Bereich aktiveren"
"Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses","SSpezifiziert Zahlen zwischen 2 und 255, durch “-” getrennt. Beispiel: '0-50'. Keine Eingabe ermöglicht alle IP Adressen"
"Enable for logged in Customers","Für eingeloggte Kunden ermöglichen"
"If not enabled, logged in customers will use standard Magento checkout","Wenn nicht ausgewählt, nutzen eingeloggte Kunden den Standard Magento Checkout"
"Enable for specific customer groups","Für bestimmte Kundengruppen ermöglichen"
"If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all","Wenn du nicht zu der ausgewählten Kundengruppe gehörst, wird der Standard Magento Checkout ermöglicht"
"For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s","Ich stimme den %s und der Anwendung meiner Daten in der Express Kasse zu."
"No","Nein"
"Yes - Subscribe to newsletter","Ja - Newsletter abonnieren"
"Yes - Don't subscribe to newsletter","Ja - Newsletter nicht abonnieren"
"Subscribe to newsletter","Newsletter abonnieren"
"Don't subscribe to newsletter","Newsletter nicht abonnieren"
"URL to this stores own terms and conditions","Link zu den Händler Geschäftsbedingungen."
"Refund amount","Betrag rückerstatten"
"Go to Klarna Checkout","Gehe zum Klarna Checkout"
"Other Payment Methods","Andere Bezahlmethoden"

"Country Default","Ländervoreinstellung"
"Force entry of phonenumber","Eingabe der Telefonnummer erzwingen"
"Enable DHL Packstation","DHL Packstation ermöglichen"
"Enable cart in checkout page","Einkaufswagen auf Checkout Seite ermöglichen"
"Only available in Germany","Nur in Deutschland verfügbar"
"Enable Autofocus for Klarna Checkout","Autofokus für Klarna Checkout ermöglichen"
"Support of other payment methods","Unterstützung anderer Zahlungsmethoden"
"If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout","Wenn aktiviert, wird eine Schaltfläche auf der Klarna Checkout und eine auf der Seite der Bezahlmethoden des Standard Checkouts plaziert."
"Label for Other Payment Methods button","Bezeichnung für Andere-Bezahlmethoden-Schaltfäche"
"Label for Back to Klarna Checkout button","Bezeichung für Zurück-zum-Klarna-Checkout-Schaltfläche"
"Other Payment Methods","Andere Bezahlmethoden"
"Go to Klarna Checkout","Gehe zum Klarna Checkout"
"This can be free text or a complete URL to a reasonably sized image","Dies kann freier Text oder eine vollständige URL bis zu einer angemessenen Größe sein."
"Reference","Referenz"
"Order Id","Bestellnummer"
"Capture ID","Capture ID"
"Klarna Checkout is not responding properly. Please try again in a while or choose another payment method.","Klarna Checkout reagiert nicht ordnungsgemäß. Bitte versuchen Sie es in Kürze nochmals oder wähle Sie eine andere Bezahlmethode."

"Please note that your official address will be used for shipping and billing address when you place your order","Please note that your official address will be used for shipping and billing address when you place your order"
"User Defined Variables","User Defined Variables"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working"
"Disable Klarna Backend","Disable Klarna Backend"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system"
"Invoice Klarna Orders","Invoice Klarna Orders"
"Invoice created for order","Invoice created for order"
"Order ignored, does not have Klarna as payment method","Order ignored, does not have Klarna as payment method"
"Default","Default"
"Layout","Layout"
"2 columns with right sidebar","2 columns with right sidebar"
"Show login form","Show login form"
"Only for 2 column layout","Only for 2 column layout"
"Order Summary", "Order Summary"
"E-mail", "E-mail"
"Password", "Password"
"Login", "Login"
"Shipping Countries","Shipping Countries"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Please note that your official address will be used for shipping address when you place your order"
