"Klarna Invoice","Klarna Lasku"
"Klarna Account","Klarna Tili"
"Klarna Campaign","Klarna Kampanja"
"Enabled","Aktivoitu"
"Merchant ID","Kauppiastunnus"
"The merchant id that you have received from Klarna","Klarnalta saamasi kauppiastunnus."
"Shared secret","Jaettu salalause"
"The shared secret that you have received from Klarna","Klarnalta saamasi jaettu salalause."
"Title","Otsikko"
"Server","Palvelin"
"Choose what server to make calls to","Valitse käytettävä palvelin."
"New order status","Tilauksen uusi tila"
"Invoice fee","Laskutuslisä"
"In website currency","Verkkokaupan valuutassa"
"Invoice fee label","Laskutuslisän otsikko"
"Minimum order amount","Tilauksen vähimmäissumma"
"Cancel pending reservations","Peruuta pending-tilassa olevat tilaukset"
"Automatically cancel orders when the reservation becomes pending","Peruuta pending-tilassa tulleet tilaukset automaattisesti."
"Send invoice via e-mail","Lähetä lasku sähköpostitse"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Valitse, jos haluat Klarnan lähettävän laskut automaattisesti aktivoinnin yhteydessä."
"Allow separate addresses","Salli erilliset osoitteet"
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Salli toimitus laskutusosoitteesta poikkeavaan osoitteeseen (huom. vaatii hyväksynnän Klarnalta)."
"Language","Kieli"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Sallitut maat"
"Specific countries","Valitut maat"
"Sort order","Lajittelujärjestys"
"URL to special logotype","Kampanjalogon URL"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose a logotype from Klarna","Erityiskampanjoilla on kampanjasta riippuvat logot. Voit vaihtaa käytettävää logoa tästä."
"Klarna invoice fee","Klarna Laskun maksutapalisä"
"Display Klarna invoice fee","Näytä Klarna Laskun maksutapalisä"
"Tax class for Klarna invoice fee","Maksutapalisän veroluokka"
"Klarna invoice fee prices","Maksutapalisien suuruudet"
"Whether Klarna invoice fee set in admin includes tax","Maksutapalisä sisältää verot"
"Update Pclasses","Päivitä pclassit (kampanjakoodit)"
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Tämä asentaa aktiiviset kampanjakoodit (pclassit), joihin kuuluu sekä tili, tilikampanjat että erikoiskampanjat"

"Please enter your personal ID and try again","Anna henkilötunnuksesi ja yritä uudelleen."
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","Palautusten ja hyvitysten kohdalla sinun tulee merkitä hyvitykset laskun tiedoista, ei tilauksen kohdalta."
"Unable to pay with Klarna, please choose another payment method","Valitettavasti Klarna ei voi hyväksyä ostoasi. Ole hyvä ja vaihda maksutapaa."
"Fetching PClasses failed for store %s. (%s)","Pclassien nouto epäonnistui kaupalle %s. (%s)"
"Unknown","Tunnistamaton"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Tuntematon osoite. Tarkista henkilötunnuksesi ja paina Hae Osoite-painiketta uudelleen, tai kokeile toista maksutapaa."
"You must choose a payment plan","Valitse maksusuunnitelma."
"Unexpected error, pclass does not exist, please reload page and try again","Virhe, tunnistamaton pclass. Päivitä sivu ja yritä uudelleen."
"Phonenumber must be properly entered","Puhelinnumeron tulee olla täytetty."
"Date of birth fields must be properly entered","Syntymäajan tulee olla täytetty."
"Personal ID must not be empty","Henkilötunnuksen tulee olla täytetty."
"You need to agree to the terms to be able to continue","Sinun täytyy hyväksyä ehdot jatkaaksesi."
"You need to enter your gender to be able to continue","Sinun täytyy valita sukupuolesi jatkaaksesi."
"Klarna was not able to cancel the reservation","Varausta ei pystytty poistamaan."
"Please enter a positive number in this field","Anna tähän kenttään positiivinen luku."
"No address found. Verify the personal id and try again","Osoitetta ei löydetty. Tarkista henkilötunnuksesi ja yritä uudelleen."
"Please note that both shipping and billing address will be updated to this address when you place your order","Huomioi, että tätä osoitetta käytetään tilauksessa sekä laskutus- että toimitusosoitteena."
"Please note that shipping address will be updated to this address when you place your order","Huomioi, että tätä osoitetta käytetään tilauksessa toimitusosoitteena."

"Invoice","Lasku"
"Refund","Palautus"
"month","kuukausi"
"Reservation","Varaus"
"Reservation Pending","Varaus pending-tilassa"
"Reservation Denied","Varaus hylätty"
"Country","Maa"
"Description","Kuvaus"
"Months","Kuukaudet"
"Minimum amount","Vähimmäissumma"
"Address","Osoite"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Datenverarbeitung der für die Abwicklungdes Rechnungskaufes und einer Identitäts-und Bonitätsprüfung erforderlichen Daten durch Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Syntymäaika"
"Gender","Sukupuoli"
"Male","Mies"
"Female","Nainen"
"Monthly cost","Kuukausikustannus"
"Total cost","Kokonaissumma"
"Start fee","Aloitusmaksu"
"Personal ID/Registration number","Henkilötunnus/Y-tunnus"
"Fetch ","Hae"
"Identifying...","Tunnistetaan..."
"Phone number","Puhelinnumero"
"Discount (%s)","Alennus (%s)"

"Gift Wrapping for Order","Lahjapaketointi tilaukselle"
"Gift Wrapping for Items","Lahjapaketointi tuotteille"
"Printed Card","Tulostettu kortti"
"Gift Card","Lahjakortti"
"Customer Balance","Asiakkaan avoimet maksut"
"Reward Currency","Hyvityksen valuutta"

"YYMMDD-XXXX","PPKKVVXXXX"
"URL to terms and conditions","URL ehtoihin"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL kaupan omiin ehtoihin (käytössä vain Saksaan ja Itävaltaan myydessä)."
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testitila on käytössä, vain Klarnan testihenkilöillä tehdyt ostot hyväksytään."
"Year","Vuosi"
"Month","Kuukausi"
"Day","Päivä"
"07xxxxxxxx",""

"Disable payment widget on product page","Estä maksuwidgetit tuotesivulla"
"If set to yes, the payment information from Klarna will not appear on the product page","Jos valitset kyllä, Klarnan maksutietoja ei näytetä tuotesivulla"

"Disable method for company purchase","Estä yritysostojen menetelmä"
"Disable this method when company field is filled in during checkout","Estä tämä menetelmä, kun yrityskenttä on täytetty kassalla"
"Default Country Only","Vain oletusmaa"
"Multiple Countries Allowed","Useat maat sallittu"

"Klarna Checkout","Klarna Checkout"
"Auto prefill known Klarna details","Esitäytä tunnetut Klarna-tiedot automaattisesti"
"When activated, it will use the logged in customer details to prefill the Klarna Checkout form","Aktivoinnin jälkeen järjestelmä käyttää kirjautumistietoja esitäyttääkseen Klarna Checkout-lomakkeen"
"Extra order ID attribute","Ylimääräinen tilaustunnus-attribuutti"
"Will be used in the orderid2 field on the Klarna order","Käytetään Klarna-tilauksissa tilaustunnus2-kentässä"
"Newsletter","Uutiskirje"
"If checkbox for newsletter should be shown in checkout page.","Jos uutiskirjeen valintaruudun tulisi näkyä kassasivulla."
"Checked by default","Oletuksena valittu"
"A/B Testing settings","A/B-Testausasetukset"
"Enable for IP range","Salli IP-alue"
"Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses","Valitse kaksi numeroa välillä 0 ja 255, viivalla erotettuna. Esimerkiksi: '0-50'. Tyhjä arvo sallii kaikki IP-osoitteet"
"Enable for logged in Customers","Salli sisäänkirjautuneet asiakkaat"
"If not enabled, logged in customers will use standard Magento checkout","Jos ei sallittu, sisäänkirjautuneet asiakkaat käyttävät Magenton standardikassaa"
"Enable for specific customer groups","Salli tietyt asiakasryhmät"
"If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all","Jos et kuulu valittuun asiakasryhmään, käytetään Magenton standardikassaa. Jos mitään ei valita, tarkoittaa se sallittua kaikille"
"For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s","For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s"
"No","Ei"
"Yes - Subscribe to newsletter","Kyllä - Tilaa uutiskirje"
"Yes - Don't subscribe to newsletter","Kyllä - En tilaa uutiskirjettä"
"Subscribe to newsletter","Tilaa uutiskirje"
"Don't subscribe to newsletter","En tilaa uutiskirjettä"
"URL to this stores own terms and conditions","URL kaupan omiin ehtoihin."
"Refund amount","Palautussumma"
"Go to Klarna Checkout","Siirry Klarna Checkout -palveluun"
"Other Payment Methods","Muut maksutavat"

"Country Default","Maa, oletus"
"Force entry of phonenumber","Pakota puhelinnumeron merkintä"
"Enable DHL Packstation","Salli DHL Packstation"
"Enable cart in checkout page","Salli kori kassasivulla"
"Only available in Germany","Saatavilla vain Saksassa"
"Enable Autofocus for Klarna Checkout","Salli Autofocus Klarna Checkoutissa"
"Support of other payment methods","Muiden maksutapojen tuki"
"If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout","Jos sallittu, yksi painike sijoitetaan Klarna Checkout -sivulle ja yksi standardikassan maksuvaiheeseen"
"Label for Other Payment Methods button","Muut maksutavat-painikkeen nimike"
"Label for Back to Klarna Checkout button","Takaisin Klarna Checkoutiin -painikkeen nimike"
"Other Payment Methods","Muut maksutavat"
"Go to Klarna Checkout","Siirry Klarna Checkoutiin"
"This can be free text or a complete URL to a reasonably sized image","TTämä voi olla tekstiä tai kokonainen URL kohtuullisen kokoiseen kuvaan"
"Reference","Viite"
"Order Id","Tilaustunnus"
"Capture ID","Capture ID"
"Klarna Checkout is not responding properly. Please try again in a while or choose another payment method.","Klarna Checkout ei vastaa normaalisti. Ole hyvä ja yritä hetken kuluttua uudelleen tai valitse jokin toinen maksutapa."

"Please note that your official address will be used for shipping and billing address when you place your order","Please note that your official address will be used for shipping and billing address when you place your order"
"User Defined Variables","User Defined Variables"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working"
"Disable Klarna Backend","Disable Klarna Backend"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system"
"Invoice Klarna Orders","Invoice Klarna Orders"
"Invoice created for order","Invoice created for order"
"Order ignored, does not have Klarna as payment method","Order ignored, does not have Klarna as payment method"
"Default","Default"
"Layout","Layout"
"2 columns with right sidebar","2 columns with right sidebar"
"Show login form","Show login form"
"Only for 2 column layout","Only for 2 column layout"
"Order Summary", "Yhteenveto"
"E-mail", "E-mail"
"Password", "Password"
"Login", "Login"
"Shipping Countries","Shipping Countries"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Please note that your official address will be used for shipping address when you place your order"
"Shopping Cart","Ostoskori"
"Choose shipping method","Valitse toimitustapa"
